percentile,avg_salary,size
0-10%,85292,31521
10-20%,97324,15555
20-30%,71202,32655
30-40%,78827,4427
40-50%,58883,15900
50-60%,76408,6208
60-70%,72100,13678
70-80%,48745,18220
80-90%,57257,19595
90-100%,56428,4613
