Year,Precinct 40,Precinct 113
2006,53.55,48.28
2007,61.20,46.62
2008,59.02,58.27
2009,77.60,45.78
2010,73.23,55.77
2011,95.09,47.45
2012,64.48,55.77
2013,41.53,34.13
2014,45.90,44.95
2015,34.97,21.64
2016,37.16,36.63
2017,34.97,22.48
2018,42.62,12.49
2019,34.97,30.80
