"Gender, Race/Eth",Median Salary Women,Median Salary Men,Cents Women,Cents Men
White,72750,85292,0.853,1
Hispanic/Latinx,56000,77318,0.657,0.907
Asian,67792,74383,0.795,0.872
Black or African American,56282,65579,0.66,0.769
Other,56387,65586,0.661,0.769
Unknown,50763,55192,0.595,0.647
