percentile,avg_salary,size
0-10%,85292,40834
10-20%,85292,40286
20-30%,71921,15371
30-40%,76467,12617
40-50%,65000,12412
50-60%,49415,10699
60-70%,50691,26696
70-80%,67392,2692
80-90%,56962,647
90-100%,75098.5,118
