percentile,avg_salary,size
0-10%,85292,29504
10-20%,97324,15497
20-30%,70548,32562
30-40%,77648.5,4662
40-50%,65239,14114
50-60%,75201.5,8168
60-70%,75504,11421
70-80%,50207,18579
80-90%,58782,18441
90-100%,57031,4557
