,MODZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,MedInc,Plus65,NotHispWhite,MODZ_Comorb,HousingDensity,MODZ_LOI,COVID_DEATH_RATE
102,11214,Bath Beach/Bensonhurst/Gravesend,Brooklyn,54041,16.5,42.7,210.310030099233,2.51354187345793,14.82185,193.93
103,11215,Gowanus/Park Slope/Windsor Terrace,Brooklyn,123583,10.4,66.9,131.409663612991,2.11112958467729,8.12428242824283,65.78
104,11216,Bedford-Stuyvesant (West)/Crown Heights (West),Brooklyn,61121,11.6,26,224.075746441137,2.09197350177168,13.67591,133.24
105,11217,Boerum Hill/Park Slope,Brooklyn,107362,10.4,50.9,158.785169689725,2.04089642227405,10.6071707170717,179.04
106,11218,Kensington/Windsor Terrace,Brooklyn,69415,11.8,52.5,190.89831310509,2.82803218287089,14.9991800819918,179.4
107,11219,Borough Park,Brooklyn,39295,11.8,61.9,223.00031683796,3.21405917819677,19.2786721327867,246.61
108,11220,Sunset Park,Brooklyn,47079,11,14.1,210.043208154147,3.20818167176679,26.2750425127538,166.58
109,11221,Bedford-Stuyvesant (East)/Bushwick,Brooklyn,50153,10.3,16.5,227.7196057871,2.48222376038258,20.06887,176.31
110,11222,Greenpoint,Brooklyn,85111,10.4,73.4,140.968504899688,1.96918319471103,10.3191757527258,88.04
111,11223,Gravesend/Homecrest,Brooklyn,50108,15.8,52.1,211.856471917084,2.42944425587065,14.3582341765823,178.85
112,11224,Brighton Beach/Coney Island/Seagate,Brooklyn,33131,25.8,51,269.933716483962,2.29299884437596,15.6696669666967,469.8
113,11225,Crown Heights (West)/Prospect Lefferts Gardens,Brooklyn,55862,12.6,24.7,243.218801953815,2.40923350856368,13.5844515548445,239.12
114,11226,Flatbush/Prospect Lefferts Gardens,Brooklyn,52052,11.9,12.1,246.861416304921,2.69100543118294,16.371125774845,300.82
115,11228,Bath Beach/Dyker Heights,Brooklyn,67911,17.4,49.2,204.629289341452,2.2917626412197,13.30647,183.2
116,11229,Gerritsen Beach/Homecrest/Sheepshead Bay,Brooklyn,60873,17.9,59.4,209.889766269201,2.29376522860828,11.7354364563544,173.13
117,11230,Midwood,Brooklyn,49541,15.4,66,212.150166820027,2.5393205595392,12.72021,253.46
118,11231,Carroll Gardens/Cobble Hill/Red Hook,Brooklyn,100213,10.6,58,165.721450530258,2.06427642578488,12.4162216221622,91.91
119,11232,Sunset Park,Brooklyn,56661,8,22.2,171.530055426252,3.14755011135857,23.66826,148.56
120,11233,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,Brooklyn,40449,11,6.9,264.014962378367,2.3062874045539,18.2675432456754,187.12
121,11234,Bergen Beach/Flatlands/Marine Park/Mill Basin,Brooklyn,81399,16.8,37.5,217.282183256615,2.60298392359257,11.3416241624162,201.46
122,11235,Brighton Beach/Manhattan Beach/Sheepshead Bay,Brooklyn,52538,23.5,71.9,223.806579414228,2.10351152343231,11.1341765823418,368.37
123,11236,Canarsie,Brooklyn,67669,13.6,4.3,247.193111862878,2.81802899768859,13.74047,307.7
124,11237,Bushwick/East Williamsburg,Brooklyn,51413,6.7,19.9,171.369407112114,2.98349677110739,25.2097409740974,224.87
125,11238,Clinton Hill/Prospect Heights,Brooklyn,85407,12.2,42.5,173.242949090495,2.00864424057085,10.2850370074015,188.83
126,11239,East New York,Brooklyn,27104,29,18.8,319.814547622914,2.11412786108919,17.99358,708.91
127,11354,Flushing/Murray Hill,Queens,42500,20.3,16.4,240.573385502736,2.47187063645782,17.3777477747775,520.55
128,11355,Flushing/Murray Hill/Queensboro Hill,Queens,39207,17.6,7.5,237.579990499679,2.79883315406929,18.9964692938588,206.21
129,11356,College Point,Queens,60493,13,26.5,206.213040288678,2.8228351198362,17.76639,180.08
130,11357,Whitestone,Queens,83951,21.7,59.8,215.133843244496,2.45855312735494,10.8611061106111,252.65
131,11358,Auburndale/Murray Hill,Queens,66129,19.2,33.5,205.352200532251,2.66889394370202,13.16111,118.17
132,11360,Bayside (North),Queens,86174,27,55.2,225.596845011276,2.02879243661367,8.57764,143.14
133,11361,Bayside (North)/Bayside (South),Queens,85887,19.3,41.8,193.281844021281,2.5552478785172,10.8643635636436,200.2
134,11362,Douglaston-Little Neck,Queens,89185,25.8,44.3,215.733166523689,2.42588811759902,9.67153715371537,197.32
135,11363,Douglaston-Little Neck,Queens,104792,21.6,50.8,203.702370351827,2.49839113335717,8.63478,55.87
136,11364,Bayside (South)/Oakland Gardens,Queens,76988,18.2,34,205.048215963013,2.49765088543549,10.72256,101.27
137,11365,Auburndale/Fresh Meadows/Pomonok/Utopia,Queens,66483,14.8,25.3,209.301519758169,2.62467387253075,12.8219943988798,152.1
138,11366,Fresh Meadows/Hillcrest,Queens,78990,17.1,39,214.904878218313,2.8651280965488,11.68339,195.97
139,11367,Kew Gardens Hills/Pomonok,Queens,57933,16,46.4,196.530055895354,2.63334830307307,12.72547,159.37
140,11368,Corona/North Corona,Queens,50797,8.6,3.9,198.545650387912,3.54867970818,29.96083,395.18
141,11369,Airport/East Elmhurst,Queens,54121,15.4,8.1,219.280792724402,3.16932042022324,23.93026,485.43
142,11370,Jackson Heights/Rikers Island,Queens,65098,12.5,25.3,198.173356529931,3.87426786411558,21.9585941405859,195.37
143,11372,Jackson Heights,Queens,56383,15.6,17.8,203.286561186288,2.65482071713147,21.31233,404.39
144,11373,Elmhurst,Queens,51183,13.6,6.5,198.419190897609,3.03427935113011,21.15809,317.63
145,11374,Rego Park,Queens,63161,21.1,43.5,204.531534411367,2.1557478368356,10.96474,235.45
146,11375,Forest Hills,Queens,80542,20.1,50,193.135157961209,1.98472466864948,9.08113,256.54
147,11377,Woodside,Queens,57010,15.2,21,191.486638002866,2.67789536443583,18.4318463692739,219.73
148,11378,Maspeth,Queens,73333,12.6,54.1,191.949385394678,2.55933567456833,14.2126976185711,205.24
149,11379,Middle Village,Queens,82819,17.6,66.2,204.773674780062,2.37702232234282,11.5007707707708,265.23
150,11385,Glendale/Ridgewood,Queens,72261,10.4,46.1,182.184206004298,2.64669404848192,17.3957804219578,136.01
151,11411,Cambria Heights,Queens,93910.8123129543,19.154147071398,1.11838392475417,275.28330643067,3.00981180633746,11.4276182331497,243.97
152,11412,St. Albans,Queens,78517,14.7,0.8,269.359114143259,3.02637515183064,13.573797379738,228.73
153,11413,Laurelton/Rosedale,Queens,86324,16.3,1.5,263.234578604455,2.99899807321773,12.9197319731973,235.98
154,11414,Hamilton Beach/Howard Beach/Lindenwood,Queens,71648,22,67.8,228.802018543076,2.30785525154457,12.09331,219.35
155,11415,Kew Gardens,Queens,68294,15.9,46.5,185.713582182603,2.10091244840322,11.9442355764424,265.15
156,11416,Ozone Park,Queens,67461,10.2,12.7,194.726817472004,3.18485780169101,20.3258225822582,202.9
157,11417,Ozone Park,Queens,73424,12.5,19.6,201.876382879605,2.98198476425777,17.8902492742016,147.1
158,11418,Richmond Hill,Queens,66570,11.3,16.4,198.049438804954,3.058545638603,18.9994899489949,275.55
159,11419,Richmond Hill/South Ozone Park,Queens,70882,11.5,4.3,211.815879269087,3.50906793518656,18.8224777522248,186.83
160,11420,South Ozone Park,Queens,67932,11.7,4.9,223.265780500401,3.22738848868515,17.9397580725782,218.94
161,11421,Woodhaven,Queens,72066,12.6,16.8,192.404838104372,3.08207955888145,20.4463153684632,241.65
162,11422,Rosedale,Queens,89235,13,3.3,241.115966387123,3.07323232323232,12.8642235776422,198.69
163,11423,Hollis/Holliswood,Queens,70266,15.2,8.9,236.62889890252,2.95002459419577,15.0533053305331,324.58
164,11426,Bellerose,Queens,88803,15.4,28,197.563578470907,2.75316951009548,12.07596,166.97
165,11427,Bellerose/Hollis Hills/Holliswood,Queens,74581,16.2,19.8,223.96054431334,2.96468962050767,13.8030303030303,219.71
166,11428,Queens Village,Queens,73699,15.2,11.1,214.725477984452,3.31626297577855,15.8116188381162,284.57
167,11429,Queens Village,Queens,86867.5771814369,14.9318887032427,10.2809629351792,258.02478823299,3.1670626349892,14.2821600596812,263.94
168,11432,Hillcrest/Jamaica Estates/Jamaica Hills,Queens,55906,14,12.9,215.605803921187,3.11553437852239,16.9391360863914,397.18
169,11433,Jamaica,Queens,51521,12.2,1.6,265.286940890751,2.84655577810677,18.1750275027503,219.23
170,11434,Airport/South Jamaica/Springfield Gardens/St. Albans,Queens,62014.0222716774,15.1717701009897,1.60589415473842,273.157203798124,2.73571329735713,14.3166392625563,282.81
171,11435,Briarwood/Jamaica,Queens,64086,11.9,11.4,217.379324485233,2.83114486104519,18.9005799420058,256.66
172,11436,South Jamaica/South Ozone Park,Queens,75242,10.5,1.5,256.824073414524,3.02987846049966,16.30574,211.46
173,11691,Edgemere/Far Rockaway,Queens,46147,12.4,24,259.136532173372,2.83719281663516,19.3339767953591,562.08
174,11692,Arverne/Edgemere,Queens,44024,12.2,10,256.064422417681,2.69437581746839,18.53263,457.25
175,11693,Arverne/Broad Channel,Queens,59431,12.3,46.9,215.679840149103,2.30483558994197,13.6104310431043,234.22
176,11694,Belle Harbor-Neponsit/Rockaway Park,Queens,80976,20.5,73,218.292455815312,2.18477679049352,10.1274692284599,427.4
177,11697,Breezy Point,Queens,103580,25.4,91.6,220.904420387912,1.51186063750927,6.7,113.1
