percentile,avg_salary,size
0-10%,135511,1428
10-20%,100725.12,2794
20-30%,85292,11583
30-40%,93918.24,7442
40-50%,96302,22833
50-60%,85292,46347
60-70%,73721,11560
70-80%,53389,23866
80-90%,50207,27987
90-100%,59618,1665
