percentile,avg_salary,size
0-10%,131564,1531
10-20%,114617,3053
20-30%,85292,11917
30-40%,90953.28,7597
40-50%,85292,48576
50-60%,78532.5,22978
60-70%,74363,12014
70-80%,53251,23319
80-90%,48745,29351
90-100%,61520,2036
