date,ALL,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND
Dec-2021,120,103,129,128,117,139
Jan-2022,182,158,196,183,150,236
Feb-2022,184,180,190,174,165,230
Mar-2022,195,182,195,194,183,313
Apr-2022,201,185,207,197,217,287
May-2022,204,190,204,201,226,282
Jun-2022,209,197,209,203,234,280
Jul-2022,215,205,213,205,255,285
Aug-2022,223,212,219,214,266,275
Sep-2022,231,218,229,223,275,276
Oct-2022,242,227,235,237,291,272
Nov-2022,249,238,240,248,294,269
Dec-2022,260,247,253,259,313,261
