percentile,avg_salary,size
0-10%,84146,31118
10-20%,97324,15849
20-30%,71202,31281
30-40%,74356,4576
40-50%,52170,16192
50-60%,75591,6391
60-70%,69376,13064
70-80%,46737,17845
80-90%,53519,19415
90-100%,52496,4589
